ID,Title,Description,Type,Steps
bbfa2c8f-751a-4df1-bd32-c02fbc6f1299,Faculty offer-acceptance steps sometimes duplicate the central process,Some faculties like Law and FEIT have their own offer-acceptance/orientation steps which overlap with central enrolment.,pain,29d42124-02b4-4c85-b3ae-31badad39289:Get started & accept
8a5624a5-ec8c-48a8-8412-3f5b4bbbc501,Orientation content is mixed with administrative enrolment steps,Orientation isn't just about events; faculties embed transactional enrolment mechanics into their orientation flows.,pain,29d42124-02b4-4c85-b3ae-31badad39289:Get started & accept
9824cd5a-0794-4b58-a39d-5e596df3c52c,Planning split across hub tool and faculty sample plans,"The hub holds the planning tools (My Course Planner, Handbook) while faculties hold the degree-specific sample plans — and the two don't link cleanly, so students bounce between them.",pain,35e8f4fa-6c5b-4817-9f22-546c4afb137f:Plan my course
4f63f1cd-b354-4357-b905-cf80e4b92ea3,FEIT re-hosts My Course Planner,FEIT's top two course-planning pages are 'My Course Planner' and 'Faculty Course Planning Resources' — literally re-hosting the central tool to keep in sync.,pain,35e8f4fa-6c5b-4817-9f22-546c4afb137f:Plan my course
08b920b2-a863-4f29-8088-1c1e9db6b3f3,"46% of course planning is on school subdomains (MBS, Biomedical)","Of 207 course-planning pages, 46% live on two school subdomains (Melbourne Business School and Biomedical Sciences) beneath their faculties — a level deeper than the faculty site.",pain,35e8f4fa-6c5b-4817-9f22-546c4afb137f:Plan my course
1dbe6afe-c68e-404a-b016-20b4931f6312,Faculties restate hub enrolment mechanics,"The hub owns the transactional act of enrolment, but faculties restate generic 'how to enrol/re-enrol' steps unnecessarily.",pain,93b36d5a-d315-4a28-9068-86bc42fcfa51:Enrol & choose subjects
d06524a5-9769-4fc7-9d8d-31ffb83b8700,Generic 'how to enrol' restatements add confusion,"When a faculty restates the central process, students don't know if the faculty page or the hub page is the definitive source of truth.",pain,93b36d5a-d315-4a28-9068-86bc42fcfa51:Enrol & choose subjects
9f79c5db-8269-4b83-91d1-cc9186ca5f60,Multiple explanations of the same process,Enrolment steps explained differently on different sites.,pain,93b36d5a-d315-4a28-9068-86bc42fcfa51:Enrol & choose subjects
8dd23a38-82a9-401d-af01-c7d176f2779c,Faculty pages restate census dates and overloading rules,"Faculties re-explain rules for overloading and census dates, instead of pointing to the definitive policy.",pain,f0927ad7-8320-478d-9b6e-85d892e757b3:Manage timetable & load
583c1e9a-e99c-439d-84b1-e2d3c321a851,Timetabling explained multiple ways,"Different faculties write their own guides to MyTimetable, creating a maintenance burden and potential inconsistency.",pain,f0927ad7-8320-478d-9b6e-85d892e757b3:Manage timetable & load
