unit_slug,unit_name,unit_level,faculty,site_url,scope_pattern,has_cs_section,cs_entry_url,routes_to,notes
students-hub,Students (central hub),hub,Central,https://students.unimelb.edu.au/,students.unimelb.edu.au,yes,https://students.unimelb.edu.au/,,Unification target / reference IA
abp,"Faculty of Architecture, Building and Planning",faculty,ABP,https://msd.unimelb.edu.au/,msd.unimelb.edu.au,yes,https://msd.unimelb.edu.au/current-students,,Faculty site IS Melbourne School of Design
msd,Melbourne School of Design,school,ABP,https://msd.unimelb.edu.au/,msd.unimelb.edu.au,yes,https://msd.unimelb.edu.au/current-students,,Same host as ABP faculty; shares the faculty CS section
arts,Faculty of Arts,faculty,Arts,https://arts.unimelb.edu.au/,arts.unimelb.edu.au,yes,https://arts.unimelb.edu.au/students,,"URL pattern: /students"
arts-asia-institute,Asia Institute,institute,Arts,https://arts.unimelb.edu.au/asia-institute,arts.unimelb.edu.au/asia-institute,no,,https://arts.unimelb.edu.au/students,Pass-through; deep-links into faculty CS (language placement tests)
arts-graduate,Graduate School of Humanities and Social Sciences,school,Arts,https://arts.unimelb.edu.au/graduate,arts.unimelb.edu.au/graduate,no,,https://arts.unimelb.edu.au/students,Pass-through; homepage surfaced only global hub link
arts-scc,School of Culture and Communication,school,Arts,https://arts.unimelb.edu.au/school-of-culture-and-communication,arts.unimelb.edu.au/school-of-culture-and-communication,no,,https://arts.unimelb.edu.au/students,Pass-through to faculty CS
arts-shaps,School of Historical and Philosophical Studies,school,Arts,https://arts.unimelb.edu.au/school-of-historical-and-philosophical-studies,arts.unimelb.edu.au/school-of-historical-and-philosophical-studies,no,,https://arts.unimelb.edu.au/students,Pass-through to faculty CS
arts-sll,School of Languages and Linguistics,school,Arts,https://arts.unimelb.edu.au/school-of-languages-and-linguistics,arts.unimelb.edu.au/school-of-languages-and-linguistics,no,,https://arts.unimelb.edu.au/students,Pass-through; deep-links into faculty CS (diploma in languages etc.)
arts-ssps,School of Social and Political Sciences,school,Arts,https://arts.unimelb.edu.au/school-of-social-and-political-sciences,arts.unimelb.edu.au/school-of-social-and-political-sciences,no,,https://arts.unimelb.edu.au/students,Pass-through; homepage surfaced only global hub link
fbe,Faculty of Business and Economics,faculty,FBE,https://fbe.unimelb.edu.au/,fbe.unimelb.edu.au,yes,https://fbe.unimelb.edu.au/current-students,,"URL pattern: /current-students"
fbe-accounting,Department of Accounting,department,FBE,https://fbe.unimelb.edu.au/accounting,fbe.unimelb.edu.au/accounting,no,,https://students.unimelb.edu.au/,Pass-through to central hub (no faculty-CS link surfaced)
fbe-economics,Department of Economics,department,FBE,https://fbe.unimelb.edu.au/economics,fbe.unimelb.edu.au/economics,no,,https://students.unimelb.edu.au/,Pass-through to central hub
fbe-finance,Department of Finance,department,FBE,https://fbe.unimelb.edu.au/finance,fbe.unimelb.edu.au/finance,no,,https://students.unimelb.edu.au/,Pass-through; no explicit student link surfaced
